group,function,value,sample_time_nanos,iteration_count
scan_forward,,,2160517,81
scan_forward,,,3727113,162
scan_forward,,,4008073,243
scan_forward,,,4515050,324
scan_forward,,,5573868,405
scan_forward,,,6585578,486
scan_forward,,,7437515,567
scan_forward,,,8583709,648
scan_forward,,,10010531,729
scan_forward,,,10306719,810
scan_forward,,,11444697,891
scan_forward,,,12084815,972
scan_forward,,,13025860,1053
scan_forward,,,14062698,1134
scan_forward,,,14775723,1215
scan_forward,,,16158411,1296
scan_forward,,,17167196,1377
scan_forward,,,18059198,1458
scan_forward,,,18892442,1539
scan_forward,,,19776981,1620
scan_forward,,,20404895,1701
scan_forward,,,22193360,1782
scan_forward,,,22966890,1863
scan_forward,,,23421378,1944
scan_forward,,,24487419,2025
scan_forward,,,26588514,2106
scan_forward,,,26744649,2187
scan_forward,,,27205598,2268
scan_forward,,,28128791,2349
scan_forward,,,29933617,2430
scan_forward,,,29933386,2511
scan_forward,,,30883800,2592
scan_forward,,,32638972,2673
scan_forward,,,32706219,2754
scan_forward,,,33429234,2835
scan_forward,,,35443845,2916
scan_forward,,,35906819,2997
scan_forward,,,36588084,3078
scan_forward,,,38631060,3159
scan_forward,,,38550317,3240
scan_forward,,,39912637,3321
scan_forward,,,41081413,3402
scan_forward,,,41111651,3483
scan_forward,,,43358390,3564
scan_forward,,,42897160,3645
scan_forward,,,44922181,3726
scan_forward,,,44873058,3807
scan_forward,,,50320748,3888
scan_forward,,,51964249,3969
scan_forward,,,52949820,4050
scan_forward,,,54077438,4131
scan_forward,,,54824477,4212
scan_forward,,,55194406,4293
scan_forward,,,54782749,4374
scan_forward,,,52979856,4455
scan_forward,,,54045657,4536
scan_forward,,,54795683,4617
scan_forward,,,55302921,4698
scan_forward,,,57175524,4779
scan_forward,,,57359701,4860
scan_forward,,,59755913,4941
scan_forward,,,61697377,5022
scan_forward,,,63178101,5103
scan_forward,,,62171051,5184
scan_forward,,,62756436,5265
scan_forward,,,64786947,5346
scan_forward,,,64649799,5427
scan_forward,,,68995639,5508
scan_forward,,,72310705,5589
scan_forward,,,73763376,5670
scan_forward,,,74455663,5751
scan_forward,,,71867278,5832
scan_forward,,,73093572,5913
scan_forward,,,74844106,5994
scan_forward,,,72491867,6075
scan_forward,,,74706356,6156
scan_forward,,,80470903,6237
scan_forward,,,80055791,6318
scan_forward,,,77134487,6399
scan_forward,,,80264234,6480
scan_forward,,,85042391,6561
scan_forward,,,82270981,6642
scan_forward,,,80484679,6723
scan_forward,,,87445495,6804
scan_forward,,,86066614,6885
scan_forward,,,83022078,6966
scan_forward,,,90538702,7047
scan_forward,,,87422012,7128
scan_forward,,,89278915,7209
scan_forward,,,93265318,7290
scan_forward,,,87944788,7371
scan_forward,,,96307619,7452
scan_forward,,,91683674,7533
scan_forward,,,95103526,7614
scan_forward,,,93855612,7695
scan_forward,,,94971276,7776
scan_forward,,,99770694,7857
scan_forward,,,98455030,7938
scan_forward,,,102580065,8019
scan_forward,,,100295846,8100
