group,function,value,sample_time_nanos,iteration_count
scan_forward_surrogates,,,7012763,315
scan_forward_surrogates,,,7689099,630
scan_forward_surrogates,,,8492656,945
scan_forward_surrogates,,,9308646,1260
scan_forward_surrogates,,,10102915,1575
scan_forward_surrogates,,,11020105,1890
scan_forward_surrogates,,,12038467,2205
scan_forward_surrogates,,,13287514,2520
scan_forward_surrogates,,,14293232,2835
scan_forward_surrogates,,,14877425,3150
scan_forward_surrogates,,,15731857,3465
scan_forward_surrogates,,,16515336,3780
scan_forward_surrogates,,,17406899,4095
scan_forward_surrogates,,,18852606,4410
scan_forward_surrogates,,,19844919,4725
scan_forward_surrogates,,,20263137,5040
scan_forward_surrogates,,,21054341,5355
scan_forward_surrogates,,,21965811,5670
scan_forward_surrogates,,,23402011,5985
scan_forward_surrogates,,,24716361,6300
scan_forward_surrogates,,,25112028,6615
scan_forward_surrogates,,,25711360,6930
scan_forward_surrogates,,,27628246,7245
scan_forward_surrogates,,,27691826,7560
scan_forward_surrogates,,,28418848,7875
scan_forward_surrogates,,,29488357,8190
scan_forward_surrogates,,,31338058,8505
scan_forward_surrogates,,,31205486,8820
scan_forward_surrogates,,,32152805,9135
scan_forward_surrogates,,,34432056,9450
scan_forward_surrogates,,,34017804,9765
scan_forward_surrogates,,,35237676,10080
scan_forward_surrogates,,,37286542,10395
scan_forward_surrogates,,,36946891,10710
scan_forward_surrogates,,,38213562,11025
scan_forward_surrogates,,,39499559,11340
scan_forward_surrogates,,,39558941,11655
scan_forward_surrogates,,,41431834,11970
scan_forward_surrogates,,,41278045,12285
scan_forward_surrogates,,,43454111,12600
scan_forward_surrogates,,,43245167,12915
scan_forward_surrogates,,,44544398,13230
scan_forward_surrogates,,,45800228,13545
scan_forward_surrogates,,,46011045,13860
scan_forward_surrogates,,,47724489,14175
scan_forward_surrogates,,,47678462,14490
scan_forward_surrogates,,,50157290,14805
scan_forward_surrogates,,,49640405,15120
scan_forward_surrogates,,,51830598,15435
scan_forward_surrogates,,,51385137,15750
scan_forward_surrogates,,,53405089,16065
scan_forward_surrogates,,,53527871,16380
scan_forward_surrogates,,,54666890,16695
scan_forward_surrogates,,,55802373,17010
scan_forward_surrogates,,,56376827,17325
scan_forward_surrogates,,,58057188,17640
scan_forward_surrogates,,,58293123,17955
scan_forward_surrogates,,,60189552,18270
scan_forward_surrogates,,,60439644,18585
scan_forward_surrogates,,,61229845,18900
scan_forward_surrogates,,,62541029,19215
scan_forward_surrogates,,,63119641,19530
scan_forward_surrogates,,,65122961,19845
scan_forward_surrogates,,,65465798,20160
scan_forward_surrogates,,,65705110,20475
scan_forward_surrogates,,,67244926,20790
scan_forward_surrogates,,,67918146,21105
scan_forward_surrogates,,,68750817,21420
scan_forward_surrogates,,,70511190,21735
scan_forward_surrogates,,,79489702,22050
scan_forward_surrogates,,,72487870,22365
scan_forward_surrogates,,,73132446,22680
scan_forward_surrogates,,,74761871,22995
scan_forward_surrogates,,,76733502,23310
scan_forward_surrogates,,,75538977,23625
scan_forward_surrogates,,,76431722,23940
scan_forward_surrogates,,,77676421,24255
scan_forward_surrogates,,,78913245,24570
scan_forward_surrogates,,,81879793,24885
scan_forward_surrogates,,,83020936,25200
scan_forward_surrogates,,,80164526,25515
scan_forward_surrogates,,,84986325,25830
scan_forward_surrogates,,,86498239,26145
scan_forward_surrogates,,,85110118,26460
scan_forward_surrogates,,,85556882,26775
scan_forward_surrogates,,,86627071,27090
scan_forward_surrogates,,,86688257,27405
scan_forward_surrogates,,,88167719,27720
scan_forward_surrogates,,,88434301,28035
scan_forward_surrogates,,,90380395,28350
scan_forward_surrogates,,,94883252,28665
scan_forward_surrogates,,,91968311,28980
scan_forward_surrogates,,,91957861,29295
scan_forward_surrogates,,,93251612,29610
scan_forward_surrogates,,,95130047,29925
scan_forward_surrogates,,,95226930,30240
scan_forward_surrogates,,,96001592,30555
scan_forward_surrogates,,,96466069,30870
scan_forward_surrogates,,,97387808,31185
scan_forward_surrogates,,,99737673,31500
